transaction_id,timestamp,amount,sender_id,receiver_id,sender_country,receiver_country,device_id,label
T_0,2023-01-01 00:00:00,5171.827631231373,USER_6,USER_63,GBR,USA,DEVICE_13,0
T_1,2023-01-01 01:00:00,371.55330480859715,USER_36,USER_67,FRA,RUS,DEVICE_2,0
T_2,2023-01-01 02:00:00,674.4372214576504,USER_29,USER_70,RUS,CHN,DEVICE_8,0
T_3,2023-01-01 03:00:00,1359.2519617914274,USER_40,USER_59,FRA,CHN,DEVICE_13,0
T_4,2023-01-01 04:00:00,344.9831853358485,USER_26,USER_92,FRA,GBR,DEVICE_3,0
T_5,2023-01-01 05:00:00,222.77146983802618,USER_5,USER_77,RUS,FRA,DEVICE_14,0
T_6,2023-01-01 06:00:00,1247.1461022543674,USER_49,USER_70,FRA,USA,DEVICE_13,0
T_7,2023-01-01 07:00:00,62.85951059207466,USER_33,USER_72,RUS,RUS,DEVICE_15,0
T_8,2023-01-01 08:00:00,1602.388166875549,USER_49,USER_54,FRA,FRA,DEVICE_10,0
T_9,2023-01-01 09:00:00,3162.128248615994,USER_1,USER_71,USA,GBR,DEVICE_10,0
T_10,2023-01-01 10:00:00,1624.3948684689483,USER_16,USER_95,RUS,GBR,DEVICE_14,0
T_11,2023-01-01 11:00:00,2593.763505485782,USER_48,USER_84,FRA,USA,DEVICE_10,0
T_12,2023-01-01 12:00:00,746.8399721610446,USER_11,USER_85,CHN,CHN,DEVICE_9,0
T_13,2023-01-01 13:00:00,171.91732686359023,USER_3,USER_77,USA,USA,DEVICE_12,0
T_14,2023-01-01 14:00:00,478.19102589948596,USER_8,USER_93,FRA,GBR,DEVICE_17,0
T_15,2023-01-01 15:00:00,779.9709556418943,USER_12,USER_75,USA,CHN,DEVICE_16,0
T_16,2023-01-01 16:00:00,1216.5598213025714,USER_17,USER_88,CHN,RUS,DEVICE_10,0
T_17,2023-01-01 17:00:00,296.21099292419547,USER_35,USER_73,GBR,USA,DEVICE_12,0
T_18,2023-01-01 18:00:00,1297.8156401388928,USER_19,USER_83,CHN,RUS,DEVICE_12,1
T_19,2023-01-01 19:00:00,1993.2682428975925,USER_2,USER_88,CHN,FRA,DEVICE_11,0
T_20,2023-01-01 20:00:00,160.8061242539601,USER_31,USER_55,CHN,RUS,DEVICE_16,0
T_21,2023-01-01 21:00:00,346.6753189842546,USER_28,USER_79,RUS,USA,DEVICE_15,0
T_22,2023-01-01 22:00:00,867.9839015259967,USER_38,USER_88,RUS,USA,DEVICE_16,0
T_23,2023-01-01 23:00:00,1201.47479713433,USER_27,USER_93,GBR,CHN,DEVICE_2,1
T_24,2023-01-02 00:00:00,1674.1788776650928,USER_36,USER_91,CHN,CHN,DEVICE_1,0
T_25,2023-01-02 01:00:00,617.2904449073217,USER_28,USER_81,GBR,CHN,DEVICE_3,0
T_26,2023-01-02 02:00:00,1007.3427081098176,USER_29,USER_82,USA,FRA,DEVICE_3,0
T_27,2023-01-02 03:00:00,170.3378416212839,USER_17,USER_89,CHN,USA,DEVICE_12,0
T_28,2023-01-02 04:00:00,361.70798834037674,USER_45,USER_60,GBR,USA,DEVICE_2,0
T_29,2023-01-02 05:00:00,3570.7451122015027,USER_42,USER_70,FRA,GBR,DEVICE_13,0
T_30,2023-01-02 06:00:00,186.8063564608052,USER_35,USER_98,USA,GBR,DEVICE_12,1
T_31,2023-01-02 07:00:00,339.5161958382551,USER_46,USER_72,GBR,USA,DEVICE_1,0
T_32,2023-01-02 08:00:00,43.22500294769668,USER_12,USER_73,RUS,GBR,DEVICE_15,0
T_33,2023-01-02 09:00:00,357.47740406983763,USER_1,USER_99,GBR,GBR,DEVICE_7,0
T_34,2023-01-02 10:00:00,208.4659527259084,USER_46,USER_89,RUS,RUS,DEVICE_2,0
T_35,2023-01-02 11:00:00,448.053114364132,USER_30,USER_63,FRA,RUS,DEVICE_9,0
T_36,2023-01-02 12:00:00,1580.1987617115938,USER_22,USER_96,CHN,CHN,DEVICE_5,0
T_37,2023-01-02 13:00:00,280.04264102072784,USER_28,USER_58,USA,CHN,DEVICE_4,0
T_38,2023-01-02 14:00:00,23.874012225476122,USER_2,USER_78,USA,RUS,DEVICE_16,0
T_39,2023-01-02 15:00:00,423.06853834229105,USER_18,USER_71,USA,CHN,DEVICE_18,0
T_40,2023-01-02 16:00:00,37.3794607303454,USER_15,USER_62,RUS,USA,DEVICE_6,0
T_41,2023-01-02 17:00:00,4146.850128930243,USER_38,USER_76,CHN,GBR,DEVICE_18,0
T_42,2023-01-02 18:00:00,98.29468131958593,USER_29,USER_98,CHN,FRA,DEVICE_16,0
T_43,2023-01-02 19:00:00,78.31924695405233,USER_29,USER_73,USA,CHN,DEVICE_12,0
T_44,2023-01-02 20:00:00,648.2276165097857,USER_5,USER_67,CHN,FRA,DEVICE_1,0
T_45,2023-01-02 21:00:00,273.74562554018695,USER_31,USER_95,CHN,GBR,DEVICE_3,0
T_46,2023-01-02 22:00:00,1379.339027539919,USER_37,USER_84,RUS,RUS,DEVICE_7,0
T_47,2023-01-02 23:00:00,443.90157918674794,USER_33,USER_87,CHN,USA,DEVICE_11,0
T_48,2023-01-03 00:00:00,590.3247571691891,USER_44,USER_54,CHN,CHN,DEVICE_15,0
T_49,2023-01-03 01:00:00,1537.801122162986,USER_16,USER_72,RUS,FRA,DEVICE_18,0
T_50,2023-01-03 02:00:00,1055.9652464071737,USER_26,USER_82,FRA,USA,DEVICE_19,0
T_51,2023-01-03 03:00:00,533.0285255359274,USER_47,USER_84,FRA,FRA,DEVICE_6,0
T_52,2023-01-03 04:00:00,1777.7981290108573,USER_37,USER_90,USA,GBR,DEVICE_14,0
T_53,2023-01-03 05:00:00,2084.182198660986,USER_25,USER_57,CHN,RUS,DEVICE_8,0
T_54,2023-01-03 06:00:00,1092.6762668667009,USER_18,USER_98,GBR,USA,DEVICE_10,0
T_55,2023-01-03 07:00:00,666.1478667879051,USER_9,USER_69,CHN,FRA,DEVICE_10,0
T_56,2023-01-03 08:00:00,710.9932536326992,USER_35,USER_99,GBR,FRA,DEVICE_16,0
T_57,2023-01-03 09:00:00,1284.4621487054808,USER_17,USER_92,RUS,GBR,DEVICE_7,0
T_58,2023-01-03 10:00:00,3627.8892822754287,USER_46,USER_93,GBR,CHN,DEVICE_6,0
T_59,2023-01-03 11:00:00,145.23187254955747,USER_11,USER_81,RUS,FRA,DEVICE_19,0
T_60,2023-01-03 12:00:00,493.034703882407,USER_23,USER_97,GBR,GBR,DEVICE_13,0
T_61,2023-01-03 13:00:00,196.9458139411209,USER_32,USER_66,CHN,RUS,DEVICE_16,1
T_62,2023-01-03 14:00:00,1006.7006765857691,USER_23,USER_64,CHN,CHN,DEVICE_9,0
T_63,2023-01-03 15:00:00,1057.288612960579,USER_49,USER_88,USA,FRA,DEVICE_19,0
T_64,2023-01-03 16:00:00,325.8385169257765,USER_8,USER_62,GBR,RUS,DEVICE_3,0
T_65,2023-01-03 17:00:00,1886.4987178978658,USER_48,USER_93,GBR,RUS,DEVICE_16,0
T_66,2023-01-03 18:00:00,1044.1019228336975,USER_24,USER_93,FRA,USA,DEVICE_9,0
T_67,2023-01-03 19:00:00,1705.6515813979377,USER_10,USER_65,USA,FRA,DEVICE_4,0
T_68,2023-01-03 20:00:00,219.6639706181465,USER_45,USER_75,CHN,FRA,DEVICE_11,0
T_69,2023-01-03 21:00:00,472.1603419680292,USER_11,USER_77,USA,USA,DEVICE_14,0
T_70,2023-01-03 22:00:00,27.074504444360283,USER_48,USER_91,USA,RUS,DEVICE_15,0
T_71,2023-01-03 23:00:00,316.84552544301124,USER_22,USER_85,RUS,CHN,DEVICE_15,0
T_72,2023-01-04 00:00:00,1375.3736288062926,USER_43,USER_60,GBR,FRA,DEVICE_7,0
T_73,2023-01-04 01:00:00,1341.4924483404104,USER_7,USER_75,FRA,FRA,DEVICE_14,0
T_74,2023-01-04 02:00:00,992.9828185379612,USER_1,USER_96,RUS,RUS,DEVICE_18,0
T_75,2023-01-04 03:00:00,29.664702583987,USER_19,USER_69,GBR,CHN,DEVICE_15,0
T_76,2023-01-04 04:00:00,445.75886396679294,USER_45,USER_75,FRA,RUS,DEVICE_1,0
T_77,2023-01-04 05:00:00,110.19995211446867,USER_18,USER_75,GBR,RUS,DEVICE_14,0
T_78,2023-01-04 06:00:00,162.08699630223487,USER_6,USER_79,CHN,RUS,DEVICE_12,0
T_79,2023-01-04 07:00:00,482.512633523225,USER_30,USER_81,GBR,RUS,DEVICE_7,0
T_80,2023-01-04 08:00:00,206.39083760112288,USER_38,USER_58,USA,CHN,DEVICE_17,0
T_81,2023-01-04 09:00:00,300.6015634012317,USER_12,USER_58,RUS,USA,DEVICE_17,0
T_82,2023-01-04 10:00:00,982.6898384327153,USER_24,USER_62,GBR,USA,DEVICE_19,0
T_83,2023-01-04 11:00:00,4.604469045335492,USER_38,USER_55,USA,GBR,DEVICE_18,0
T_84,2023-01-04 12:00:00,393.4092496814183,USER_1,USER_96,FRA,FRA,DEVICE_9,0
T_85,2023-01-04 13:00:00,1135.144471198467,USER_11,USER_98,CHN,CHN,DEVICE_9,0
T_86,2023-01-04 14:00:00,280.20452376793423,USER_11,USER_95,USA,CHN,DEVICE_9,0
T_87,2023-01-04 15:00:00,523.0896185273364,USER_25,USER_52,GBR,USA,DEVICE_4,0
T_88,2023-01-04 16:00:00,145.38326823367643,USER_11,USER_99,FRA,GBR,DEVICE_11,0
T_89,2023-01-04 17:00:00,1121.9664184309079,USER_8,USER_75,USA,GBR,DEVICE_7,0
T_90,2023-01-04 18:00:00,796.0931696644981,USER_26,USER_52,USA,CHN,DEVICE_19,0
T_91,2023-01-04 19:00:00,148.23404290785555,USER_46,USER_75,FRA,RUS,DEVICE_16,0
T_92,2023-01-04 20:00:00,1238.8185184308618,USER_25,USER_76,USA,FRA,DEVICE_14,0
T_93,2023-01-04 21:00:00,1524.8800914601925,USER_22,USER_74,CHN,USA,DEVICE_3,0
T_94,2023-01-04 22:00:00,3770.607901863946,USER_10,USER_88,FRA,RUS,DEVICE_9,0
T_95,2023-01-04 23:00:00,204.2790055251932,USER_10,USER_66,FRA,USA,DEVICE_10,0
T_96,2023-01-05 00:00:00,9.1403673130714,USER_10,USER_53,FRA,GBR,DEVICE_3,0
T_97,2023-01-05 01:00:00,614.4176802922598,USER_27,USER_56,USA,USA,DEVICE_15,0
T_98,2023-01-05 02:00:00,1714.5499029648615,USER_17,USER_95,FRA,CHN,DEVICE_15,0
T_99,2023-01-05 03:00:00,853.8075864237816,USER_5,USER_66,GBR,USA,DEVICE_18,0
T_100,2023-01-05 04:00:00,363.31256871767675,USER_43,USER_64,CHN,RUS,DEVICE_4,0
T_101,2023-01-05 05:00:00,249.55374502287188,USER_4,USER_85,GBR,GBR,DEVICE_9,0
T_102,2023-01-05 06:00:00,402.4262713563135,USER_41,USER_81,FRA,USA,DEVICE_18,0
T_103,2023-01-05 07:00:00,927.3569943287501,USER_4,USER_71,USA,USA,DEVICE_1,0
T_104,2023-01-05 08:00:00,181.400276050903,USER_13,USER_77,FRA,CHN,DEVICE_2,0
T_105,2023-01-05 09:00:00,242.03037693025797,USER_35,USER_53,USA,GBR,DEVICE_3,0
T_106,2023-01-05 10:00:00,1310.6070023418067,USER_26,USER_99,USA,GBR,DEVICE_4,0
T_107,2023-01-05 11:00:00,1250.8392445804493,USER_31,USER_63,RUS,CHN,DEVICE_3,0
T_108,2023-01-05 12:00:00,1013.4233369430685,USER_32,USER_58,FRA,RUS,DEVICE_5,0
T_109,2023-01-05 13:00:00,2177.660958325696,USER_24,USER_91,FRA,GBR,DEVICE_3,0
T_110,2023-01-05 14:00:00,905.0372595710674,USER_1,USER_99,GBR,USA,DEVICE_13,0
T_111,2023-01-05 15:00:00,394.50677216411543,USER_9,USER_78,FRA,RUS,DEVICE_2,0
T_112,2023-01-05 16:00:00,37.816097881177505,USER_23,USER_75,RUS,GBR,DEVICE_3,0
T_113,2023-01-05 17:00:00,80.40043974584226,USER_22,USER_74,USA,GBR,DEVICE_10,0
T_114,2023-01-05 18:00:00,6.8442568178785805,USER_30,USER_52,RUS,USA,DEVICE_3,0
T_115,2023-01-05 19:00:00,87.98060176518736,USER_23,USER_80,CHN,GBR,DEVICE_8,0
T_116,2023-01-05 20:00:00,224.34039356698779,USER_47,USER_73,FRA,CHN,DEVICE_18,0
T_117,2023-01-05 21:00:00,942.5631924874441,USER_38,USER_83,FRA,USA,DEVICE_8,0
T_118,2023-01-05 22:00:00,3149.021321334587,USER_3,USER_63,USA,GBR,DEVICE_11,0
T_119,2023-01-05 23:00:00,671.30709275904,USER_24,USER_99,RUS,CHN,DEVICE_9,0
T_120,2023-01-06 00:00:00,1432.946487464002,USER_41,USER_56,RUS,FRA,DEVICE_13,0
T_121,2023-01-06 01:00:00,497.1879468240264,USER_5,USER_93,FRA,CHN,DEVICE_7,0
T_122,2023-01-06 02:00:00,445.56581535609337,USER_41,USER_97,RUS,USA,DEVICE_16,0
T_123,2023-01-06 03:00:00,0.29970432867447355,USER_4,USER_78,USA,FRA,DEVICE_17,0
T_124,2023-01-06 04:00:00,1029.1247192779726,USER_13,USER_84,RUS,USA,DEVICE_14,1
T_125,2023-01-06 05:00:00,1163.3425583558187,USER_29,USER_81,RUS,USA,DEVICE_1,0
T_126,2023-01-06 06:00:00,288.38098967919495,USER_48,USER_93,GBR,RUS,DEVICE_4,0
T_127,2023-01-06 07:00:00,771.756860775867,USER_24,USER_62,FRA,USA,DEVICE_15,0
T_128,2023-01-06 08:00:00,1229.573338457147,USER_9,USER_68,RUS,RUS,DEVICE_3,0
T_129,2023-01-06 09:00:00,2191.0913294018665,USER_16,USER_81,RUS,RUS,DEVICE_2,0
T_130,2023-01-06 10:00:00,142.86784650154004,USER_25,USER_73,RUS,USA,DEVICE_4,0
T_131,2023-01-06 11:00:00,510.38029054845504,USER_13,USER_81,RUS,FRA,DEVICE_3,0
T_132,2023-01-06 12:00:00,17.34168434937894,USER_23,USER_98,FRA,GBR,DEVICE_13,0
T_133,2023-01-06 13:00:00,2519.313728684229,USER_18,USER_52,RUS,USA,DEVICE_7,0
T_134,2023-01-06 14:00:00,1242.0395938368376,USER_34,USER_54,USA,FRA,DEVICE_4,0
T_135,2023-01-06 15:00:00,299.3422027905506,USER_46,USER_87,FRA,GBR,DEVICE_11,1
T_136,2023-01-06 16:00:00,2063.8616687817166,USER_2,USER_93,USA,RUS,DEVICE_14,0
T_137,2023-01-06 17:00:00,574.1048039458043,USER_3,USER_65,RUS,USA,DEVICE_7,0
T_138,2023-01-06 18:00:00,806.0294348008141,USER_44,USER_76,RUS,GBR,DEVICE_19,0
T_139,2023-01-06 19:00:00,983.5569900112838,USER_6,USER_76,GBR,USA,DEVICE_8,0
T_140,2023-01-06 20:00:00,1600.0743019307163,USER_16,USER_88,GBR,USA,DEVICE_15,0
T_141,2023-01-06 21:00:00,204.05951502128235,USER_27,USER_99,RUS,FRA,DEVICE_19,0
T_142,2023-01-06 22:00:00,504.9837905548892,USER_43,USER_67,FRA,CHN,DEVICE_12,0
T_143,2023-01-06 23:00:00,261.1215229157484,USER_42,USER_59,USA,FRA,DEVICE_9,0
T_144,2023-01-07 00:00:00,2629.924267209366,USER_43,USER_96,CHN,CHN,DEVICE_15,0
T_145,2023-01-07 01:00:00,1051.1944920073704,USER_42,USER_92,USA,RUS,DEVICE_15,0
